text,Label
itu mah konflik rebutan tanah,0
karena tidak ada urgensinya tidak ada ancaman invasi militer dari negara di kawasan asean korsel wajib militer karena status perang korea itu masih gencatan senjata,0
ini sah kemarin saya smpat nonton salah satu wawancara sama mantan radikalis dia bilang awal mengarahkan pemikiran seseorang mmng dari isu yang terjadi di sekitar pintu masuk pembicaraan paling,0
analisis yang dirumuskan dari klaster politik luar negeri dan isu isu internasional ini menggarisbawahi bahwa setiap kali konflik meletus antara palestina dan israel,0
bisa tidak palestina taat secara kaffah dalam islam dengan mengganti demokrasi menjadi sistem islam seakan hal ini menjadi kunci allah akan memlerbaiki keadaan di tiap tempat yang bersangkutan,0
bagaimana mengelola menghadapi pemberontakan berunding untuk memaksa pemberontak menyerah berunding untuk memaksa gencatan senjata blokade untuk memotong suplai logistik pemberontak,1
kalau palestina rohingya lebih ke konflik politik si soalnya oknum yang terlibat dari pemerintah luar ke islam bukan islam ke oknum luar jadi tidak apple to apple sama teroris correct me if im wrong,0
teroris islam itu gejala baru terutama sebagai imbas konflik israel palestina tahun an yang sohor bahkan teroris merah sisa sisanya pernah beraksi di jakarta tahun,0
at least gregetan saya turun karena kamu moderat dont care with zionism ataupun gerakan yang mendukung palestina ini konflik mereka yang tidak ada sangkut pautnya dengan kita tapi sebagai,2
meningkatnya ketidakpercayaan antara bangsa arab muslim dan dunia barat berakar pada konflik di palestina,2
saya ingin tahu latar belakang adakah konflik internal faksi di palestina,0
tolong negara negara arab atau lainnya harus menegakkan kebebasan dan hak asasi manusia di palestina jangan cuma banyak banyak bicara saja untuk mengurusi negara yang banyak sda nya contoh negara dan tol,2
apa kalian yang teriak toleransi tahu bagaimana islam menjaga kebebasan agama lain beragama ingat kisah amirul mukminin umar ibn khatab membebaskan jarusalem palestina,0
indeed konflik israel palestina memang complex,0
semoga allah menolong saudara kita di palestina aamiin yra alfatehah,0
penjajahan palestina terjadi setelah runtuhnya khilafah bahkan setelah berdirinya puluhan negara arab mereka tidak mampu membebaskan al aqso masih tidak ada rasa rindu khilafah islamiah,0
kebanyakan korban terluka karena ditembak peluru karet dan pecahan dari granat kejut,0
saya setuju pak untuk urusin palestina saja jadi duta palestina saja pak dan tinggallah disana barang tahun,2
saya lagi mikir dalam perspektif netral dan iya tidak israel tidak palestina penembakan sipil juga terjadi hampir disetiap perang juga kakak,0
konflik israel palestina itu tidak ada hubungannya dengan agama di israel ada orang islam yang jadi tentara israel di palestina ada warga yang yahudi ortodoks dan nasrani tapi kenapa kyknya tiap ramadhan sela,0
konflik israel dan palestina sudah tertulis di al quran,1
jangan pelihara konflik dan penderitaan warga palestina dengan bilang itu semua sudah takdir mereka untuk dijajah israel,2
respon begitu punya beberapa masalah membiaskan akar permasalahan konflik palestina israel mengkerdilkan casus belli dari konflik jadi sebatas agama membatasi diskusi tentang penyelesaian ke,0
konflik israel palestina tidak bisa di diamkan begitu saja as dan uni eropa sama sama menyerukan agar israel dan palestina meredakan ketegangan setelah terjadi bentrokan te,0
dari zamannya bung karno tidak ada perubahannya itu palestina kenapa yaa bisa begitu ada konflik apa di sana,2
konflik palestina itu murni bisnis yang sudah ada sejak puluhan tahun lalu hanya orang yang kurang literasi yang mengkuatirkan mereka,2
di israel pun banyak kok warganya yang mengecam praktik kolonialisme ini peran media berpuluh puluh tahun menggeser makna konflik israel palestina menjadi perang agama,2
konflik palestina dan israel saat ini bentuk dari keinginan militer israel yang ingin okupasi wilayah sekitar al aqsa kesimpulannya,1
kenapa sih israel serang palestina disaat hari besar islam atau ketika ibadah sholat jumat atau kejadian kemarin saat sholat tarawih konflik karena agama kah atau konflik karena wilayah kah,0
konflik israel vs palestina itu kompleks sampai sekarang masih belum ada penyelesaiian,0
giliran konflik myanmar kalian bersuara ini palestina dijajah,2
terus pbb itu sedang apa sih kobisa sampai ada konflik di palestina kayak begini tapi tidak beres saya heran,2
sejak pendudukan dan berdirinya negara israel di kawasan yerusalem sebagai wilayah palestina dan negeri tiga agama yaitu islam,0
masih banyak orang yang berpikir bahwa konflik yang terjadi di palestina adalah konflik agama it is not,1
akan sangat mudah bagi negara kolonial untuk merebut palestina apabila konflik tersebut atas nama agama jadi kita yang awam ini tidak acuh dan hanya menganggap angin lalu saja ah sudah dari awal konfl,2
konflik yang terjadi di palestina memang rumit tidak bisa di nilai sepihak begitu saja,1
setiap ngelihat palestina ini sejak dulu selalu ngerasa sedih bukan karena apa yang terjadi,0
