text,Label
itu mah konflik rebut tanah,0
karena tidak ada urgensi tidak ada ancam invasi militer dari negara di kawasan asean korsel wajib militer karena status perang korea itu masih gencat senjata,0
ini sah kemarin saya sempat nonton salah satu wawancara sama mantan radikalisme dia bilang awal arah pikir orang memang dari isu yang jadi di sekitar pintu masuk bicara paling,0
analisis yang rumus dari klaster politik luar negeri dan isu isu internasional ini menggarisbawahi bahwa tiap kali konflik letus antara palestina dan israel,0
bisa tidak palestina taat cara kaffah dalam islam dengan ganti demokrasi jadi sistem islam akan hal ini jadi kunci allah akan baik ada di tiap tempat yang sangkut,0
bagaimana kelola hadap ronta runding untuk paksa berontak serah runding untuk paksa gencat senjata blokade untuk potong suplai logistik berontak,1
kalau palestina rohingya lebih ke konflik politik si soal oknum yang libat dari perintah luar ke islam bukan islam ke oknum luar jadi tidak apple to apple sama teroris correct me if im wrong,0
teroris islam itu gejala baru utama bagai imbas konflik israel palestina tahun an yang sohor bahkan teroris merah sisa sisa pernah aksi di jakarta tahun,0
at least gregetan saya turun karena kamu moderat dont care with zionism atau gera yang dukung palestina ini konflik mereka yang tidak ada sangkut paut dengan kita tapi bagai,2
tingkat ragu antara bangsa arab muslim dan dunia barat akar pada konflik di palestina,2
saya ingin tahu latar belakang ada konflik internal faksi di palestina,0
tolong negara negara arab atau lain harus tegak bebas dan hak asasi manusia di palestina jangan cuma banyak banyak bicara saja untuk urus negara yang banyak sda nya contoh negara dan tol,2
apa kalian yang teriak toleransi tahu bagaimana islam jaga bebas agama lain agama ingat kisah amirul mukminin umar ibn khatab bebas jarusalem palestina,0
indeed konflik israel palestina memang complex,0
moga allah tolong saudara kita di palestina aamiin yra al fatihah,0
jajah palestina jadi telah runtuh khilafah bahkan telah diri puluh negara arab mereka tidak mampu bebas al aqso masih tidak ada rasa rindu khilafah islamiah,0
banyak korban luka karena tembak peluru karet dan pecah dari granat kejut,0
saya tuju pak untuk urus palestina saja jadi duta palestina saja pak dan tinggal sana barang tahun,2
saya lagi mikir dalam perspektif netral dan iya tidak israel tidak palestina tembak sipil juga jadi hampir tiap perang juga kakak,0
konflik israel palestina itu tidak ada hubung dengan agama di israel ada orang islam yang jadi tentara israel di palestina ada warga yang yahudi ortodoks dan nasrani tapi kenapa kayak tiap ramadhan sela,0
konflik israel dan palestina sudah tulis di al quran,1
jangan pelihara konflik dan derita warga palestina dengan bilang itu semua sudah takdir mereka untuk jajah israel,2
respon begitu punya beberapa masalah bias akar masalah konflik palestina israel kecil casus belli dari konflik jadi batas agama batas diskusi tentang selesai ke,0
konflik israel palestina tidak bisa di diam begitu saja as dan uni eropa sama sama seru agar israel dan palestina reda tegang telah jadi bentrok te,0
dari zaman bung karno tidak ada ubah itu palestina kenapa yaa bisa begitu ada konflik apa di sana,2
konflik palestina itu murni bisnis yang sudah ada sejak puluh tahun lalu hanya orang yang kurang literasi yang mengkuatirkan mereka,2
di israel pun banyak kok warga yang kecam praktik kolonialisme ini peran media puluh puluh tahun geser makna konflik israel palestina jadi perang agama,2
konflik palestina dan israel saat ini bentuk dari ingin militer israel yang ingin okupasi wilayah sekitar al aqsa simpul,1
kenapa sih israel serang palestina saat hari besar islam atau ketika ibadah sholat jumat atau jadi kemarin saat sholat tarawih konflik karena agama kah atau konflik karena wilayah kah,0
konflik israel vs palestina itu kompleks sampai sekarang masih belum ada selesai,0
gilir konflik myanmar kalian suara ini palestina jajah,2
terus pbb itu sedang apa sih ko bisa sampai ada konflik di palestina kayak begini tapi tidak beres saya heran,2
sejak duduk dan diri negara israel di kawasan yerusalem bagai wilayah palestina dan negeri tiga agama yaitu islam,0
masih banyak orang yang pikir bahwa konflik yang jadi di palestina adalah konflik agama it is not,1
akan sangat mudah bagi negara kolonial untuk rebut palestina apabila konflik sebut atas nama agama jadi kita yang awam ini tidak acuh dan hanya anggap angin lalu saja ah sudah dari awal konflik,2
konflik yang jadi di palestina memang rumit tidak bisa di nilai pihak begitu saja,1
tiap lihat palestina ini sejak dulu selalu ngerasa sedih bukan karena apa yang jadi,0
